"Sabemos que a norma N-1374, é um procedimento de seleção de esquema de pintura numa plataforma marítima de exploração e de produção. Transcrevendo o item 4.3 e os subitens 4.3.1; 4.3.1.1; 4.3.1.1.1 e 4.3.1.1.2. Diante da descrição do item 4.3 e seus subitens da norma N-1374, qual o mecanismo de proteção anticorrosiva?","Proteção Catódica.","Galvanização a frio.","Passivação Anódica.","Por Barreira.","D"
"Quais são os graus de intemperismo, de uma superfície metálica ferrosa com e sem pintura?","Somente as opções I e VI.","Somente as opções III e V.","Somente as opções II e IV.","Somente as opções V e II.","C"
"Quantos e quais são os processos corrosivos? I. Quatro, Catodo, Anodo, Energia e eletrólito. - II. Três, Eletrolítico, Eletroquímico e Químico. - III. Dois, Eletroquímico e Químico.","II Está correta.","III Está correta.","I Está correta.","Nenhuma","B"
"Sabemos que para todo tratamento de superfície metálica ferrosa, existe um padrão a ser obtido. Cada um com sua característica visual. Diante do enunciado, qual a informação FALSA?","ST2; É um padrão de limpeza, obtido por tratamento de superfície com ferramentas manuais.","WAB-4, WAB-3, WAB-2, WAB-1; São padrões de limpeza, obtidos por tratamento de superfície por jateamento abrasivo úmido.","WJ-1, WJ-2, WJ-3 e WJ-4; São padrões de limpeza, obtido por tratamento de superfície por hidrojateamento de alta pressão.","Sa1, Sa2, Sa2 ¹/² e Sa3; São padrões de limpeza, obtido por tratamento de superfície por jateamento abrasivo seco com escovamento de bronze.","D"
"As Tintas normatizadas pela Petrobras, que fazem o mecanismo de proteção catódica são:","PETROBRAS N-2492 - Esmalte Sintético Brilhante; PETROBRAS N-2628 - Tinta Epóxi Poliamida de Alta Espessura; PETROBRAS N-2629 - Tinta de Acabamento Epóxi sem Solvente.","PETROBRAS N-2630 - Tinta Epóxi - Fosfato de Zinco de Alta Espessura; PETROBRAS N-2288 - Tinta de Fundo Epóxi Pigmentada com Alumínio e PETROBRAS N-1514 - Tinta Indicadora de Alta Temperatura.","PETROBRAS N-2198 - Tinta de Aderência Epóxi-Isocianato-Óxido de Ferro; PETROBRAS N-2912 - Tinta Epóxi “Novolac”.","PETROBRAS N-1277 - Tinta de Fundo Epóxi-Zinco Poliamida, PETROBRAS N-1661 - Tinta de Zinco Etil-Silicato e PETROBRAS N-2231 - Tinta de Etil - Silicato de Zinco – Alumínio.","D"
"Dentre as alternativas abaixo, marque a opção que apresenta as pilhas presentes no processo corrosivo eletroquímico.","Corrosão branca, corrosão galvânica, corrosão por frestas, corrosão subpelicular e corrosão eletrolítica.","Ativa passiva, aeração diferencial, ação local, concentração iônica e galvânica.","Corrosão microbiológica, corrosão grafítica, corrosão erosiva, corrosão sob tensão e corrosão por fadiga.","Fenomenologia branca, fenomenologia de fresta, fenomenologia galvânica.","B"
"Sabendo que temos dois tipos de superfície, metálica e não metálica. Num lixamento manual, numa superfície não metálica (PVC), o que acontece quando lixamos?","Obtemos um ST2 leve.","Obtemos ranhuras quase ST3.","Uma limpeza rigorosa da superfície.","Abrimos um perfil de ancoragem.","D"
"Sabemos que nas unidades de trabalho REFINARIA (revestimento anticorrosivo de equipamento industrial) e PLATAFORMA (aplicação de revestimentos anticorrosivo para manutenção de unidades marítimas de exploração de petróleo), têm normas cuja seleção do esquema de pintura já está especificado. Quais são as normas, que selecionam e determinam os esquemas de pintura (preparo de superfície, aplicação de tinta de fundo, tinta intermediária e tinta de acabamento com suas respectivas espessuras, método de aplicação e intervalo de repintura), para proteção anticorrosiva nas REFINARIAS e PLATAFORMAS. Marque a opção CORRETA:","Somente as opções I e IV estão corretas.","Somente as opções II e V estão corretas.","Somente as opções III e IV estão corretas.","Somente as opções IV e V estão corretas.","A"
"Sabemos que a função do abrasivo no tratamento por jateamento abrasivo seco ou úmido, tem a função de abrir perfil de rugosidade para dar uma boa aderência da tinta e ou revestimento na superfície. Identifique a informação FALSA:","Somente a opção II é falsa.","Somente a opção V é falsa.","Somente a opção IV é falsa.","Somente a opção III é falsa.","A"
"Conhecemos a norma, que especifica o tratamento de aço com jato abrasivo (seco ou úmido), e hidrojateamento. Com seus critérios de aceitação e rejeição, bem como, a norma de requisitos técnicos para serviços de pintura. Com seus critérios de aceitação e rejeição, no qual nos assegura a garantia de um bom serviço e ou nos mostra que os procedimentos não foram seguidos. Quais são as normas de referência para verificar o desempenho e inspeção da proteção anticorrosiva?","Normas Petrobras N-2 e N-1374.","Normas Petrobras N-9 e N-13.","Normas Petrobras N-2628 e N-2677.","Normas Petrobras N-1661 e N-1277.","B"
"A tinta intumescente tem a função de?","Proteção Catódica","Proteção por barreira","Facilitar a fuga de pessoas, antes da estrutura colapsar por conta do fogo","Proteção anticorrosiva e de calor","C"
"Assinale a sequência correta de V (Verdadeiro) ou F (Falso) para os padrões: ( ) A Sa 2 ½, ( ) A Sa 2, ( ) 8 Sa 2 ½, ( ) 4 ST3, ( ) B Sa 1.","V, F, V, V, V","F, V, F, F, F","V, V, F, V, F","F, F, V, F, V","A"
